Iteration,Cost,Temperature,Sequence
153,147,3,905807,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
154,147,3,710517,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
155,147,3,524991,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
156,147,3,348741,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
157,147,3,181304,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
158,147,3,022239,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
159,147,2,871127,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
160,147,2,727571,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
161,147,2,591192,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
162,147,2,461632,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
163,147,2,338551,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
164,147,2,221623,20 16 15 11 9 5 18 19 14 4 7 1 2 6 3 8 13 12 10 17
165,147,2,110542,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
166,147,2,005015,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 12 13 10 17
167,143,1,904764,20 16 15 18 3 5 11 19 14 4 7 1 2 6 9 8 12 13 10 17
168,139,1,809526,20 16 15 18 6 5 11 19 14 4 7 1 2 3 9 8 12 13 10 17
169,139,1,719049,20 16 15 18 6 5 11 19 14 4 7 1 2 3 9 8 12 13 10 17
170,139,1,633097,20 16 15 18 6 5 11 19 17 4 7 1 2 3 9 8 12 13 10 14
171,139,1,551442,20 16 15 18 6 5 11 19 17 4 7 1 2 3 9 8 12 13 10 14
172,139,1,47387,20 16 15 18 6 5 11 19 17 4 7 1 2 3 9 8 12 13 10 14
173,139,1,400176,20 16 15 18 6 5 11 19 17 4 7 1 2 3 9 8 12 13 10 14
174,139,1,330168,20 16 15 18 6 5 11 19 17 4 7 1 2 3 9 8 12 13 10 14
175,139,1,263659,20 17 15 18 6 5 11 19 16 4 7 1 2 3 9 8 12 13 10 14
176,139,1,200476,20 17 15 18 6 5 11 19 16 4 7 1 2 3 9 8 12 13 10 14
177,139,1,140452,20 17 15 18 6 5 11 19 16 4 7 1 2 3 9 8 12 13 10 14
178,139,1,08343,20 17 15 18 6 5 11 19 16 4 7 1 2 3 9 8 12 13 10 14
179,139,1,029258,20 17 15 18 6 5 11 19 16 4 7 1 2 3 9 8 12 13 10 14
180,139,0,9777954,20 17 15 18 6 5 11 19 16 4 7 1 2 3 9 8 12 13 10 14
181,139,0,9289055,20 17 15 18 6 5 11 19 16 4 7 1 2 3 9 8 12 13 10 14
182,123,0,8824603,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
183,123,0,8383373,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
184,123,0,7964203,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
185,123,0,7565993,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
186,123,0,7187694,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
187,123,0,6828309,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
188,123,0,6486894,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
189,123,0,6162549,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
190,123,0,5854421,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
191,123,0,55617,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
192,123,0,5283615,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
193,123,0,5019434,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
194,123,0,4768462,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
195,123,0,4530039,20 17 15 10 6 5 11 19 16 4 7 1 2 3 9 8 12 13 18 14
